Authority,geometry,Area,Population,centroid
Queens Mansion,"POLYGON ((3084 -130.75, 3084 -124, 3084 -117, 3084 -110, 3084 -106.5, 3084 -96, 3084 -90.5, 3084 -85, 3084 -79.5, 3084 -74, 3084 -63, 3084 -52, 3084 -30, 3084 14, 3084 25, 3084 36, 3084 80, 3084 112.5, 3084 168, 3084 198, 3084 218, 3117 218, 3150 218, 3183 218, 3216 218, 3248.5 218, 3281 218, 3281 193, 3281 168, 3281 146, 3281 135, 3281 129.5, 3281 126.75, 3281 124, 3281 118.5, 3281 114.38, 3281 107.5, 3281 102, 3281 93.75, 3281 88.25, 3281 80, 3281 74.5, 3281 69, 3281 58, 3281 52.5, 3281 47, 3281 42.88, 3281 36, 3281 30.5, 3281 25, 3281 16.75, 3281 14, 3281 11.25, 3281 3, 3281 -5.25, 3281 -8, 3281 -19, 3281 -27.25, 3281 -30, 3281 -45.12, 3281 -52, 3281 -54.75, 3281 -57.5, 3281 -63, 3281 -71.25, 3281 -75.38, 3281 -77.44, 3281 -79.5, 3281 -83.62, 3281 -87.75, 3281 -96, 3281 -101.5, 3281 -107, 3281 -109.75, 3281 -112.5, 3281 -115.25, 3281 -118, 3281 -122.25, 3281 -128.62, 3281 -130.75, 3281 -135, 3281 -139, 3281 -141, 3281 -143, 3281 -145, 3281 -149, 3281 -153.75, 3281 -156.5, 3281 -162, 3281 -164.75, 3281 -170.25, 3281 -173, 3281 -175.75, 3281 -178.5, 3281 -184, 3260 -184, 3254.5 -184, 3249 -184, 3243.5 -184, 3238 -184, 3232.5 -184, 3227 -184, 3221.5 -184, 3216 -184, 3194 -184, 3172 -184, 3150 -184, 3133.5 -184, 3125.25 -184, 3117 -184, 3106 -184, 3084 -184, 3084 -170.25, 3084 -151, 3084 -140.88, 3084 -137.5, 3084 -130.75))",1234.318472,2989134,"(3182.5, 17.0)"
Readington,"POLYGON ((2404 1214, 2312 1214, 2312 1290, 2312 1387, 2312 1537, 2576 1537, 2576 1387, 2576 1290, 2576 1214, 2494.4 1214, 2446 1214, 2404 1214))",1329.050301,419227,"(2444.0, 1375.5)"
Slothwood,"POLYGON ((2754 -184, 2836.5 -184, 2919 -184, 2930 -184, 2952 -184, 2957.5 -184, 2996 -184, 3040 -184, 3084 -184, 3106 -184, 3117 -184, 3125.25 -184, 3133.5 -184, 3150 -184, 3172 -184, 3194 -184, 3216 -184, 3221.5 -184, 3227 -184, 3232.5 -184, 3238 -184, 3243.5 -184, 3249 -184, 3254.5 -184, 3260 -184, 3281 -184, 3283.88 -184, 3289.62 -184, 3295.38 -184, 3298.25 -184, 3304 -184, 3309.5 -184, 3315 -184, 3337 -184, 3348 -184, 3370 -184, 3392 -184, 3431.25 -184, 3549 -184, 3549 -250, 3549 -295, 3549 -357, 3392 -357, 3348 -357, 3304 -357, 3260 -357, 3216 -357, 3150 -357, 3084 -357, 3040 -357, 2974 -357, 2919 -357, 2836.5 -357, 2754 -357, 2754 -250, 2754 -184))",2143.6219520000004,1256648,"(3151.5, -270.5)"
Storport,"POLYGON ((1561.66 93, 1555 93, 1522 93, 1456 93, 1282 93, 1282 91, 1197 91, 1197 448, 1456 448, 1774 448, 1774 111, 1730 111, 1730 93, 1654 93, 1621 93, 1613.2 93, 1609.1 93, 1605 93, 1602.56 93, 1596.92 93, 1588 93, 1580.18 93, 1577.12 93, 1572 93, 1566.83 93, 1561.66 93))",3182.865983,128392,"(1484.261645928516, 271.00489929632295)"
Techno Garden,"POLYGON ((2805.36 1400, 2798 1400, 2798 1406.68, 2798 1418.51, 2798 1423.63, 2798 1427.18, 2798 1437.43, 2798 1444, 2798 1460.56, 2798 1467.31, 2798 1469.19, 2798 1477.63, 2798 1492.22, 2798 1518.13, 2798 1525.07, 2798 1537, 2874 1537, 2895 1537, 2920.11 1537, 2952 1537, 2981.33 1537, 3010.65 1537, 3040 1537, 3040 1522.23, 3040 1510, 3040 1504.54, 3040 1499.07, 3040 1488, 3040 1475.47, 3040 1461.78, 3040 1444, 3032.61 1444, 3016.83 1444, 3009.72 1444, 3002.61 1444, 2996 1444, 2982.87 1444, 2977.96 1444, 2970.6 1444, 2964.05 1444, 2955.36 1444, 2952 1444, 2952 1440.37, 2952 1432.07, 2952 1420.71, 2952 1416.72, 2952 1412.42, 2952 1406.73, 2952 1400, 2950.82 1400, 2943.7 1400, 2934.3 1400, 2928.44 1400, 2924.32 1400, 2918.48 1400, 2915.18 1400, 2912.18 1400, 2908 1400, 2906.11 1400, 2896.49 1400, 2890.16 1400, 2886 1400, 2883.21 1400, 2880.26 1400, 2870.46 1400, 2864 1400, 2858.66 1400, 2856.1 1400, 2850.65 1400, 2849.44 1400, 2847.11 1400, 2842 1400, 2839.37 1400, 2834.1 1400, 2827.4 1400, 2825.64 1400, 2825.42 1400, 2820 1400, 2816.14 1400, 2809.85 1400, 2805.36 1400))",456.389776,2802907,"(2908.818181818181, 1474.648760330578)"
Tedding Temple,"POLYGON ((2908 1237.21, 2908 1240.54, 2908 1244.57, 2908 1251.48, 2908 1253.82, 2908 1257.76, 2908 1261.23, 2908 1263.38, 2908 1264.17, 2908 1265.99, 2908 1268, 2908 1271.09, 2908 1274.17, 2908 1278.66, 2908 1279.34, 2908 1282.33, 2908 1284.36, 2908 1289.28, 2908 1295.24, 2908 1296.47, 2908 1303.73, 2908 1312, 2912.01 1312, 2917.28 1312, 2921.76 1312, 2925.82 1312, 2934.63 1312, 2944.67 1312, 2952 1312, 2952.64 1312, 2958.31 1312, 2960.94 1312, 2966.6 1312, 2973.6 1312, 2973.67 1312, 2984.1 1312, 2992.5 1312, 2993.7 1312, 2996 1312, 2998.01 1312, 3002.27 1312, 3006.25 1312, 3010.63 1312, 3018 1312, 3018.69 1312, 3024.96 1312, 3026.37 1312, 3029.6 1312, 3036.89 1312, 3039.18 1312, 3039.19 1312, 3040 1312, 3042.25 1312, 3043.82 1312, 3047.89 1312, 3051.34 1312, 3054.27 1312, 3055.14 1312, 3056.87 1312, 3059.8 1312, 3061.37 1312, 3062 1312, 3062.4 1312, 3064.33 1312, 3066.22 1312, 3066.48 1312, 3069.8 1312, 3073.55 1312, 3075.57 1312, 3077.46 1312, 3077.97 1312, 3080.35 1312, 3084 1312, 3084 1309.43, 3084 1305.22, 3084 1303.27, 3084 1301.5, 3084 1300.07, 3084 1298.22, 3084 1298.21, 3084 1295.55, 3084 1293.95, 3084 1293.71, 3084 1292.78, 3084 1292.75, 3084 1290, 3084 1288.33, 3084 1286.54, 3084 1283.67, 3084 1282.28, 3084 1282.23, 3084 1279.1, 3084 1279.06, 3084 1275.67, 3084 1273.58, 3084 1268, 3084 1264.62, 3084 1261.24, 3084 1257.62, 3084 1252.31, 3084 1248.37, 3084 1246, 3084 1243.59, 3084 1243.57, 3084 1237.37, 3084 1235.34, 3084 1233.81, 3084 1230.78, 3084 1228.11, 3084 1226.09, 3084 1223, 3081.74 1223, 3079.48 1223, 3075.18 1223, 3068.6 1223, 3065.3 1223, 3062 1223, 3054.93 1223, 3051.96 1223, 3045.79 1223, 3042.41 1223, 3040 1223, 3035.26 1223, 3030.52 1223, 3023.96 1223, 3018 1223, 3016.49 1223, 3012.23 1223, 3008.13 1223, 3004.19 1223, 2996 1223, 2993.29 1223, 2987.7 1223, 2982.01 1223, 2972.98 1223, 2963.73 1223, 2952 1223, 2944.92 1223, 2932.64 1223, 2920.37 1223, 2908 1223, 2908 1226.34, 2908 1237.21))",244.140851,2448671,"(2996.0, 1267.4999999999998)"
Tenna Court,"POLYGON ((3281 322, 3281 331, 3281 340, 3290 340, 3308 340, 3317 340, 3326 340, 3337 340, 3348 340, 3370 340, 3392 340, 3414 340, 3447 340, 3480 340, 3549 340, 3549 218, 3392 218, 3370 218, 3348 218, 3281 218, 3281 256, 3281 300, 3281 322))",509.600205,214823,"(3415.0, 279.0)"
Twicken Meads,"POLYGON ((3084 1243.59, 3084 1246, 3084 1248.37, 3084 1252.31, 3084 1257.62, 3084 1261.24, 3084 1264.62, 3084 1268, 3084 1273.58, 3084 1275.67, 3084 1279.06, 3084 1279.1, 3084 1282.23, 3084 1282.28, 3084 1283.67, 3084 1286.54, 3084 1288.33, 3084 1290, 3084 1292.75, 3084 1292.78, 3084 1293.71, 3084 1293.95, 3084 1295.55, 3084 1298.21, 3084 1298.22, 3084 1300.07, 3084 1301.5, 3084 1303.27, 3084 1305.22, 3084 1309.43, 3084 1312, 3085.23 1312, 3087.26 1312, 3088.656920908525 1312, 3088.6611 1311.5203, 3088.6569 1312.0024, 3089.3736 1312.003, 3089.3736374269006 1312, 3092.15 1312, 3093.68 1312, 3096.75 1312, 3097.7 1312, 3099.2 1312, 3100.68 1312, 3102.71 1312, 3107.21 1312, 3109.7 1312, 3111.93 1312, 3114.53 1312, 3116.73 1312, 3119.26 1312, 3122.23 1312, 3128 1312, 3132.57 1312, 3136.4 1312, 3139.57 1312, 3142.67 1312, 3147.63 1312, 3150 1312, 3152.69 1312, 3156.74 1312, 3162.01 1312, 3167.74 1312, 3172 1312, 3179.34 1312, 3183.54 1312, 3185.63 1312, 3188.22 1312, 3192.96 1312, 3194.15 1312, 3195.63 1312, 3198.98 1312, 3200.75 1312, 3202.45 1312, 3205 1312, 3206.11 1312, 3206.13 1312, 3209.29 1312, 3209.3 1312, 3215.85 1312, 3218.36 1312, 3226.68 1312, 3235 1312, 3235 1304.3637, 3235 1301.8228, 3235 1301.82, 3235 1290, 3235 1283.6593, 3235 1282.6625, 3235 1282.66, 3235 1278.9937, 3235 1278.99, 3235 1275.3249, 3235 1275.32, 3235 1273.4927, 3235 1266.7868, 3235 1262.12, 3235 1262.1168, 3235 1260.2851, 3235 1258.61, 3235 1258.607, 3235 1253.204, 3235 1253.2, 3235 1247.6985, 3235 1247.0345, 3235 1246, 3235 1245.0119, 3235 1238.7215, 3235 1235.5706, 3235 1234.6817, 3235 1234.68, 3235 1225.7584, 3235 1223, 3232.49 1223, 3222.08 1223, 3218.25 1223, 3212.76 1223, 3205 1223, 3203.72 1223, 3202.66 1223, 3184.98 1223, 3181.93 1223, 3167.5 1223, 3154.67 1223, 3150 1223, 3133.29 1223, 3128 1223, 3124.13 1223, 3113.64 1223, 3108.07 1223, 3106 1223, 3101.3 1223, 3090.78 1223, 3084 1223, 3084 1226.09, 3084 1228.11, 3084 1230.78, 3084 1233.81, 3084 1235.34, 3084 1237.37, 3084 1243.57, 3084 1243.59), (3140.98 1279.59, 3141.73 1279.78, 3140.81 1279.58, 3140.98 1279.59), (3135.25 1310.46, 3134.8 1310.6, 3135.25 1310.45, 3135.25 1310.46))",209.460235,2017508,"(3159.5000108475347, 1267.4999879974598)"
Waltham Grove,"POLYGON ((1822 -82.19, 1822 -71.66, 1822 -62.75, 1822 -37, 1822 36, 1822 111, 1822 198, 2079 198, 2138 198, 2270 198, 2336 198, 2369.5 198, 2403 198, 2403 150, 2403 102, 2403 58, 2403 -37, 2403 -206, 2403 -357, 2138 -357, 1822 -357, 1822 -184, 1822 -140, 1822 -97.09, 1822 -91.27, 1822 -82.19))",5025.787052,204379,"(2112.5000000000005, -79.50000000000003)"
Waterstone,"POLYGON ((1273 660, 1273 885, 1569 885, 1754 885, 1774 885, 1774 478, 1754 478, 1456 478, 1365 478, 1273 478, 1273 569, 1273 660))",3178.0966670000003,61570,"(1523.5, 681.5)"
Weslington,"POLYGON ((3235 1027.5889, 3235 1033.9137, 3235 1039.7497, 3235 1042.6677, 3235 1045.5857, 3235 1050.2452, 3235 1052.575, 3235 1054.9047, 3235 1064.2237, 3235 1073.5426, 3235 1078.2021, 3235 1082.8616, 3235 1092, 3235 1099.1817, 3235 1105.3167, 3235 1112.9352, 3235 1127.1538, 3235 1136, 3235 1143.6264, 3235 1149.8407, 3235 1157.6048, 3235 1167.8471, 3235 1175.4427, 3235 1180, 3235 1186.4326, 3235 1191.5283, 3235 1204.0381, 3235 1207.9977, 3235 1223, 3235 1225.7584, 3235 1234.68, 3235 1234.6817, 3235 1235.5706, 3235 1238.7215, 3235 1245.0119, 3235 1246, 3235 1247.0345, 3235 1247.6985, 3235 1253.2, 3235 1253.204, 3235 1258.607, 3235 1258.61, 3235 1260.2851, 3235 1262.1168, 3235 1262.12, 3235 1266.7868, 3235 1273.4927, 3235 1275.32, 3235 1275.3249, 3235 1278.99, 3235 1278.9937, 3235 1282.66, 3235 1282.6625, 3235 1283.6593, 3235 1290, 3235 1301.82, 3235 1301.8228, 3235 1304.3637, 3235 1312, 3241.2424 1312, 3243.686 1312, 3247.9978 1312, 3251.5711 1312, 3253.715 1312, 3260 1312, 3261.094 1312, 3267.4747 1312, 3273.7142 1312, 3277.8571 1312, 3282 1312, 3291.2752 1312, 3300.5503 1312, 3313.2862 1312, 3318.2874 1312, 3321.484 1312, 3326 1312, 3326 1297.5049, 3326 1283.0098, 3326 1282.9262, 3326 1257.0194, 3326 1223, 3326 1197.1235, 3326 1188.6808, 3326 1166.6104, 3326 1158, 3326 1141.3302, 3326 1131.4465, 3326 1118.6729, 3326 1105.8993, 3326 1092, 3331.7355 1092, 3358.2668 1092, 3370 1092, 3370 1070, 3370 1048, 3370 1034.1779, 3370 965.1254, 3370 960, 3355.3451 960, 3319.1999 960, 3305.3838 960, 3282 960, 3274.1826 960, 3257.0431 960, 3253.0863 960, 3246.0827 960, 3240.15 960, 3235 960, 3235 964.5201, 3235 983.2675, 3235 991.9365, 3235 999.345, 3235 1006.7535, 3235 1016.778, 3235 1026, 3235 1027.5889), (3300.4371 1045.5113, 3300.4371 1045.5112, 3300.5086 1043.5906, 3300.4371 1045.5113))",589.774634,2771484,"(3290.8604651153737, 1119.1162790767823)"
