District,District_ID,District_Ward,geometry,Area,Region,Population,Constituency,centroid,ward_immigrant,ward_localists,Winning_Perspective
Durdham Mews,9,Ward 18,"POLYGON ((2688 1444, 2676.75 1444, 2671.31 1444, 2668.74 1444, 2667.67 1446.16, 2667.48 1447.72, 2666.88 1449.51, 2667.18 1450.76, 2666.46 1450.7, 2666.39 1451.43, 2666.15 1452.82, 2665.58 1453.54, 2665.09 1455.08, 2664.84 1456.36, 2663.18 1462.03, 2664.64 1462.78, 2665.2 1463.17, 2665.72 1461.63, 2667.54 1461.91, 2668.41 1461.43, 2668.45 1459.78, 2668.31 1457.79, 2668.4 1455.87, 2670.83 1455.9, 2671.94 1455.81, 2673.18 1455.84, 2674.59 1455.88, 2675.52 1455.88, 2677.37 1455.84, 2679.38 1455.92, 2680.67 1456.16, 2681.25 1456.16, 2682 1456.47, 2684.8 1456.89, 2688 1458.12, 2689.04 1458.31, 2689.67 1457.38, 2690.52 1456.5, 2691.21 1455.74, 2691.5 1454.84, 2692.1 1453.85, 2692.7 1453.18, 2693.48 1451.97, 2693.87 1451.55, 2694.33 1450.88, 2694.26 1450.2, 2694.26 1449.61, 2694.47 1448.87, 2692.78 1448.07, 2691.09 1447.13, 2688.69 1446.24, 2688 1445.46, 2688 1444))",5.258207,Capital,21837,Durdham Mews,"(2678.6072281145007, 1451.2086433016098)",,,Vote_MR
Durdham Mews,10,Ward 16,"POLYGON ((2731.12 1444.82, 2732 1444, 2723.17 1444, 2716.42 1444, 2708.86 1444, 2708.5 1446.82, 2707.64 1448.75, 2706.83 1448.75, 2707.07 1449.48, 2707.43 1450.8, 2707.74 1451.56, 2708.34 1452.13, 2708.41 1452.84, 2708.38 1453.52, 2707.87 1454.55, 2707.4 1455.47, 2706.42 1456.94, 2705.05 1458.63, 2703.31 1459.8, 2702.29 1460.55, 2700.62 1462.08, 2701.79 1462.27, 2702.65 1462.47, 2704.62 1462.64, 2705.37 1463.43, 2706.14 1464.38, 2707.32 1465.2, 2708.37 1465.05, 2709.75 1465.44, 2711.16 1465.87, 2712.35 1466.3, 2712.94 1464.55, 2713.05 1464.01, 2714.42 1462.36, 2714.57 1460.91, 2714.71 1460.18, 2715.15 1458.94, 2715.27 1458.14, 2715.47 1457.06, 2715.56 1455.84, 2716.13 1454.54, 2716.7 1453.39, 2716.74 1452.01, 2716.82 1450.7, 2717.43 1448.87, 2717.43 1448.06, 2718.12 1447.26, 2719.32 1446.49, 2720.28 1445.91, 2721.06 1445.4, 2722.22 1445.17, 2723.87 1445.52, 2725.28 1446.31, 2726.78 1447.23, 2727.92 1447.81, 2729.42 1447.81, 2730.12 1446.29, 2731.12 1444.82))",3.661326,Capital,21164,Durdham Mews,"(2712.993139489707, 1453.5153757160517)",,,Vote_MR
Durdham Mews,11,Ward 11,"POLYGON ((2631.12 1446.79, 2630.75 1447.43, 2630.63 1448.13, 2630.27 1449.07, 2629.96 1450.65, 2630.19 1451.45, 2632.15 1451.42, 2633.22 1451.35, 2634.34 1451.28, 2635.02 1451.28, 2636.49 1451.17, 2637.85 1451.28, 2639.65 1451.72, 2640.16 1453.32, 2640.89 1454.84, 2641.23 1456.32, 2644 1456.33, 2644 1456.32, 2645.24 1456.58, 2646.23 1456.71, 2647.24 1457.31, 2648.82 1456.31, 2652.73 1456.23, 2653.34 1457.46, 2653.51 1458.51, 2653.39 1459.48, 2653.6 1460.49, 2654.06 1461.33, 2655.53 1462.17, 2656.08 1462.51, 2656.92 1462.76, 2657.89 1461.33, 2658.27 1460.11, 2658.56 1459.06, 2659.31 1458.41, 2660.89 1458.67, 2661.87 1459.56, 2661.87 1461.26, 2663.18 1462.03, 2664.84 1456.36, 2665.09 1455.08, 2665.58 1453.54, 2666.15 1452.82, 2666.39 1451.43, 2666.46 1450.7, 2667.18 1450.76, 2666.88 1449.51, 2667.48 1447.72, 2667.67 1446.16, 2668.74 1444, 2662.91 1444, 2657.08 1444, 2644 1444, 2631.56 1444, 2632.28 1445.03, 2631.64 1445.82, 2631.12 1446.79))",6.913087,Capital,20792,Durdham Mews,"(2651.245104317628, 1450.623941071439)",,,Vote_MR
Durdham Mews,12,Ward 13,"POLYGON ((2689.64 1460.04, 2689.08 1460, 2688.56 1460.19, 2688 1460.34, 2687.35 1460.49, 2686.97 1460.97, 2686.21 1462, 2685.86 1462.54, 2685.91 1463.19, 2686.02 1463.7, 2686.24 1464.97, 2686.48 1465.97, 2686.67 1466.86, 2687.32 1466.76, 2688 1466.94, 2688.62 1467.3, 2689.37 1467.65, 2690.78 1467.32, 2691.65 1467.08, 2692.86 1467, 2695.11 1467.05, 2696.24 1466.87, 2697.06 1465.95, 2698.21 1464.8, 2698.87 1463.72, 2699.53 1463.13, 2700.62 1462.08, 2702.29 1460.55, 2703.31 1459.8, 2705.05 1458.63, 2706.42 1456.94, 2705.46 1457.64, 2704.61 1457.89, 2703.2 1457.89, 2701.99 1457.75, 2701.03 1458.12, 2700.93 1457.43, 2700.36 1456.86, 2698.94 1456.26, 2697.74 1456.33, 2696.85 1456.19, 2696.29 1456.15, 2695.41 1456.28, 2695.43 1455.71, 2695.49 1454.28, 2695.08 1454.53, 2694.56 1454.78, 2693.6 1455.38, 2692.47 1455.21, 2691.5 1454.84, 2691.21 1455.74, 2690.52 1456.5, 2689.67 1457.38, 2689.04 1458.31, 2689.12 1459.58, 2689.64 1460.04))",2.279023,Capital,25285,Durdham Mews,"(2694.1581405203733, 1461.3101639716288)",,,Vote_MR
Durdham Mews,13,Ward 31,"POLYGON ((2760.64 1359.3, 2754 1359.76, 2754 1378.84, 2754 1389, 2754 1400, 2774.56 1400, 2773.1 1394.05, 2770.96 1391.72, 2767.01 1388.11, 2768.43 1386.82, 2770.29 1385.12, 2771.35 1383.77, 2773.55 1380.27, 2776 1378, 2776 1372.5, 2773.96 1371.83, 2769.52 1367.82, 2765.64 1365.39, 2766.06 1363.71, 2766.42 1361.84, 2767.21 1358.11, 2760.64 1359.3))",11.04734,Capital,20232,Durdham Mews,"(2763.0239083848696, 1380.4954569721397)",,,Vote_L
Durdham Mews,14,Ward 15,"POLYGON ((2725.43 1452.32, 2726.02 1451.44, 2727.48 1450.15, 2728.07 1449.57, 2728.71 1448.75, 2729.42 1447.81, 2727.92 1447.81, 2726.78 1447.23, 2725.28 1446.31, 2723.87 1445.52, 2722.22 1445.17, 2721.06 1445.4, 2720.28 1445.91, 2719.32 1446.49, 2718.12 1447.26, 2717.43 1448.06, 2717.43 1448.87, 2716.82 1450.7, 2716.74 1452.01, 2716.7 1453.39, 2716.13 1454.54, 2715.56 1455.84, 2715.47 1457.06, 2715.27 1458.14, 2715.15 1458.94, 2716.33 1459.49, 2717.64 1460.06, 2718.61 1460.47, 2719.43 1461.46, 2720.17 1462.12, 2720.67 1462.73, 2720.92 1463.27, 2721.24 1463.85, 2721.6 1464.82, 2722 1465.65, 2722.47 1466.44, 2722.86 1467.16, 2723.86 1467.55, 2725.37 1467.2, 2726.69 1466.39, 2727.89 1465.7, 2729.34 1465.23, 2729.86 1464.72, 2730.62 1463.31, 2731.35 1462.5, 2732 1461.26, 2731.13 1459.88, 2729.93 1460.13, 2729.26 1459.09, 2728.53 1457.38, 2727.59 1456.1, 2726.65 1455.03, 2725.97 1454.52, 2724.26 1454.05, 2723.53 1454.31, 2724.5 1453.08, 2725.43 1452.32))",3.351621,Capital,27004,Durdham Mews,"(2723.0480645175035, 1456.3405455255258)",,,Vote_MR
Durdham Mews,15,Ward 12,"POLYGON ((2689.08 1460, 2689.64 1460.04, 2689.12 1459.58, 2689.04 1458.31, 2688 1458.12, 2684.8 1456.89, 2682 1456.47, 2681.25 1456.16, 2680.67 1456.16, 2679.38 1455.92, 2677.37 1455.84, 2675.52 1455.88, 2674.59 1455.88, 2673.18 1455.84, 2671.94 1455.81, 2670.83 1455.9, 2668.4 1455.87, 2668.31 1457.79, 2668.45 1459.78, 2668.41 1461.43, 2668.46 1463.6, 2668.51 1465.76, 2666.96 1470.32, 2667.77 1471.25, 2669.01 1472.68, 2669.76 1473.79, 2670.75 1475.1, 2671.12 1476.71, 2672.36 1479.12, 2673.66 1479.99, 2675.28 1479.81, 2677.38 1478.44, 2678.87 1477.57, 2680.67 1476.77, 2682.05 1476.66, 2682.49 1475.09, 2682.74 1471.12, 2685.54 1469.67, 2684.94 1468.78, 2684.63 1468.12, 2684.69 1467.05, 2684.55 1465.77, 2685.17 1464.5, 2686.02 1463.7, 2685.91 1463.19, 2685.86 1462.54, 2686.21 1462, 2686.97 1460.97, 2687.35 1460.49, 2688 1460.34, 2688.56 1460.19, 2689.08 1460))",5.562825,Capital,21551,Durdham Mews,"(2676.7307306296084, 1466.2205021685818)",,,Vote_MR
Durdham Mews,16,Ward 25,"POLYGON ((2697.36 1268, 2688 1268, 2688 1286.07, 2688 1299.21, 2688 1302.58, 2688 1304.26, 2688 1319.43, 2688 1333.8, 2695.86 1333.18, 2702.89 1333.49, 2708.99 1333.38, 2712.61 1333.8, 2712.95 1339.09, 2715.37 1340.79, 2717.38 1337.76, 2720.71 1336.65, 2723.78 1334.23, 2731.91 1330.55, 2735.79 1328.56, 2728.69 1322.57, 2724.5 1318.92, 2728.81 1318.14, 2740.87 1314.26, 2736.07 1309.99, 2731.25 1305.97, 2729.18 1307, 2726.23 1307.28, 2724.65 1307.08, 2724.06 1308.95, 2722.19 1308.76, 2720.96 1308.26, 2719.63 1308.11, 2718.84 1304.23, 2718.93 1300.82, 2720.71 1297.14, 2725.33 1295.99, 2719.9 1278.67, 2716.1 1268, 2697.36 1268))",38.816525,Capital,25539,Durdham Mews,"(2707.482558596303, 1303.8816105368485)",,,Vote_L
Durdham Mews,17,Ward 14,"POLYGON ((2718.61 1460.47, 2717.64 1460.06, 2716.33 1459.49, 2715.15 1458.94, 2714.71 1460.18, 2714.57 1460.91, 2714.42 1462.36, 2713.05 1464.01, 2712.94 1464.55, 2712.35 1466.3, 2711.16 1465.87, 2709.75 1465.44, 2708.37 1465.05, 2707.32 1465.2, 2706.14 1464.38, 2705.37 1463.43, 2704.62 1462.64, 2702.65 1462.47, 2701.79 1462.27, 2700.62 1462.08, 2699.53 1463.13, 2698.87 1463.72, 2698.21 1464.8, 2697.06 1465.95, 2696.24 1466.87, 2697.06 1467.96, 2697.54 1468.31, 2697.92 1468.58, 2698.87 1469.24, 2699.73 1469.86, 2700.38 1470.62, 2701.17 1471.7, 2702.68 1472.42, 2703.43 1473.28, 2704.36 1473.01, 2705.89 1472.47, 2707.43 1472.11, 2708.64 1472.29, 2710 1473.06, 2710.9 1473.2, 2712.23 1473.79, 2713.32 1474.26, 2714.61 1474.76, 2715.75 1475.35, 2716.86 1476.17, 2718.07 1477, 2732 1477, 2729.92 1476.51, 2729.16 1476.08, 2728.73 1475.43, 2727.94 1474.79, 2727.04 1473.99, 2726.1 1472.92, 2725.46 1472.2, 2724.77 1470.72, 2724.41 1469.78, 2723.73 1468.92, 2723.22 1468.49, 2723.11 1467.84, 2722.86 1467.16, 2722.47 1466.44, 2722 1465.65, 2721.6 1464.82, 2721.24 1463.85, 2720.92 1463.27, 2720.67 1462.73, 2720.17 1462.12, 2719.43 1461.46, 2718.61 1460.47))",4.630451,Capital,26782,Durdham Mews,"(2713.3242756133773, 1469.066266840845)",,,Vote_MR
Durdham Mews,18,Ward 10,"POLYGON ((2746.99 1460.26, 2746.99 1458.68, 2746.74 1457.15, 2748.04 1457.24, 2749.75 1458.15, 2752.37 1454.15, 2755.89 1454.3, 2758.15 1452.49, 2757.7 1450.81, 2756.43 1447.74, 2754.13 1444, 2743.06 1444, 2732 1444, 2731.12 1444.82, 2730.12 1446.29, 2729.42 1447.81, 2728.71 1448.75, 2728.07 1449.57, 2727.48 1450.15, 2726.02 1451.44, 2725.43 1452.32, 2724.5 1453.08, 2723.53 1454.31, 2724.26 1454.05, 2725.97 1454.52, 2726.65 1455.03, 2727.59 1456.1, 2728.53 1457.38, 2729.26 1459.09, 2729.93 1460.13, 2731.13 1459.88, 2732 1461.26, 2731.35 1462.5, 2730.62 1463.31, 2729.86 1464.72, 2729.34 1465.23, 2727.89 1465.7, 2726.69 1466.39, 2725.37 1467.2, 2723.86 1467.55, 2722.86 1467.16, 2723.11 1467.84, 2723.22 1468.49, 2723.73 1468.92, 2724.41 1469.78, 2724.77 1470.72, 2725.46 1472.2, 2726.1 1472.92, 2727.04 1473.99, 2727.94 1474.79, 2728.73 1475.43, 2729.16 1476.08, 2729.92 1476.51, 2732 1477, 2733.28 1475.7, 2734.77 1473.86, 2737.08 1471.73, 2739.22 1469.95, 2742.06 1467.46, 2745.44 1465.16, 2746.68 1461.6, 2746.99 1460.26))",9.891872,Capital,27472,Durdham Mews,"(2738.9795740135987, 1457.0108256438907)",,,Vote: Left_MR
Durdham Mews,19,Ward 38,"POLYGON ((2773.91 1334.3, 2770.99 1332.75, 2766.58 1331.94, 2762.86 1330.95, 2761.18 1332.55, 2759.44 1332.19, 2754 1330.35, 2754 1341.3, 2754 1356, 2754 1359.76, 2760.64 1359.3, 2760.29 1358.03, 2760.01 1355.06, 2761.99 1353.23, 2762.27 1351.88, 2765.95 1349.98, 2768.11 1346.82, 2771.29 1347.66, 2772.15 1344.53, 2773.57 1339.16, 2774.05 1337.4, 2773.91 1334.3))",6.205733,Capital,21145,Durdham Mews,"(2762.1017594596483, 1342.875926907198)",,,Vote_L
Durdham Mews,20,Ward 9,"POLYGON ((2684.69 1467.05, 2684.63 1468.12, 2684.94 1468.78, 2685.54 1469.67, 2682.74 1471.12, 2682.49 1475.09, 2682.05 1476.66, 2680.67 1476.77, 2678.87 1477.57, 2677.38 1478.44, 2675.28 1479.81, 2673.66 1479.99, 2676.36 1480.49, 2678.94 1480.37, 2681.27 1480.49, 2683.41 1480.56, 2685.88 1481.01, 2686.94 1481.01, 2688.54 1481.33, 2690.99 1481.76, 2692.59 1481.7, 2692.53 1483.72, 2692.53 1485.37, 2692.32 1486.55, 2691.79 1487.4, 2690.94 1488.62, 2691.34 1490.28, 2692.44 1490.01, 2694.43 1490.61, 2696.8 1490.96, 2697.63 1490.57, 2700.22 1490.66, 2701.38 1491.09, 2702.29 1491.74, 2703.92 1488.99, 2705.95 1486.72, 2705.14 1485.66, 2703.64 1483.86, 2703.82 1483.23, 2704.53 1483.55, 2705.96 1482.35, 2706.9 1480.63, 2708 1479.1, 2708.76 1478.08, 2708.84 1477.33, 2709.24 1477, 2718.07 1477, 2716.86 1476.17, 2715.75 1475.35, 2714.61 1474.76, 2713.32 1474.26, 2712.23 1473.79, 2710.9 1473.2, 2710 1473.06, 2708.64 1472.29, 2707.43 1472.11, 2705.89 1472.47, 2704.36 1473.01, 2703.43 1473.28, 2702.68 1472.42, 2701.17 1471.7, 2700.38 1470.62, 2699.73 1469.86, 2698.87 1469.24, 2697.92 1468.58, 2697.54 1468.31, 2697.06 1467.96, 2696.24 1466.87, 2695.11 1467.05, 2692.86 1467, 2691.65 1467.08, 2690.78 1467.32, 2689.37 1467.65, 2688.62 1467.3, 2688 1466.94, 2687.32 1466.76, 2686.67 1466.86, 2686.48 1465.97, 2686.24 1464.97, 2686.02 1463.7, 2685.17 1464.5, 2684.55 1465.77, 2684.69 1467.05))",7.415831,Capital,26704,Durdham Mews,"(2695.71393045831, 1477.866058877554)",,,Vote_MR
Durdham Mews,21,Ward 4,"POLYGON ((2639.65 1451.72, 2637.85 1451.28, 2636.49 1451.17, 2635.02 1451.28, 2634.34 1451.28, 2633.22 1451.35, 2632.15 1451.42, 2630.19 1451.45, 2628.1 1451.58, 2626.06 1453.07, 2625.58 1453.9, 2625.29 1455.38, 2624.93 1456.79, 2624.52 1458.75, 2623.04 1458.92, 2620.6 1459.79, 2620.95 1461.3, 2621.31 1463.53, 2622.47 1465.22, 2624.25 1466.46, 2625.32 1467.26, 2628.7 1469.04, 2630.48 1471, 2631.55 1472.16, 2631.88 1472.98, 2632.94 1474.07, 2634.13 1475.2, 2635.51 1475.43, 2636.9 1475.71, 2637.93 1476.14, 2638.48 1476.97, 2639.43 1476.54, 2640.7 1476.62, 2641.76 1476.42, 2641.64 1477.9, 2640.54 1481.24, 2640.07 1482.35, 2641.45 1483.36, 2643.03 1483.72, 2644 1483.72, 2645.09 1484.31, 2647.22 1484.65, 2648.47 1484.51, 2650.42 1484.25, 2650.86 1482.81, 2651.45 1480.94, 2651.55 1479.45, 2651.89 1477.46, 2651.96 1474.52, 2652.19 1473.06, 2653.42 1471.06, 2654.11 1469.22, 2654.79 1467.7, 2656.89 1464.37, 2656.92 1462.76, 2656.08 1462.51, 2655.53 1462.17, 2654.06 1461.33, 2653.6 1460.49, 2653.39 1459.48, 2653.51 1458.51, 2653.34 1457.46, 2652.73 1456.23, 2648.82 1456.31, 2647.24 1457.31, 2646.23 1456.71, 2645.24 1456.58, 2644 1456.32, 2641.23 1456.32, 2640.89 1454.84, 2640.16 1453.32, 2639.65 1451.72))",10.947101,Capital,21031,Durdham Mews,"(2639.943827992822, 1465.9250534124847)",,,Vote_MR
Durdham Mews,22,Ward 37,"POLYGON ((2765.95 1349.98, 2762.27 1351.88, 2761.99 1353.23, 2760.01 1355.06, 2760.29 1358.03, 2760.64 1359.3, 2767.21 1358.11, 2771.6 1357.25, 2776 1356.39, 2780.03 1356.39, 2789.48 1355.4, 2786.97 1354.02, 2780.79 1350.67, 2776 1349.12, 2771.29 1347.66, 2768.11 1346.82, 2765.95 1349.98))",2.944191,Capital,21868,Durdham Mews,"(2772.12692927707, 1353.4744312304883)",,,Vote_L
Durdham Mews,23,Ward 5,"POLYGON ((2660.89 1458.67, 2659.31 1458.41, 2658.56 1459.06, 2658.27 1460.11, 2657.89 1461.33, 2656.92 1462.76, 2656.89 1464.37, 2654.79 1467.7, 2654.11 1469.22, 2653.42 1471.06, 2652.19 1473.06, 2651.96 1474.52, 2651.89 1477.46, 2651.55 1479.45, 2651.45 1480.94, 2650.86 1482.81, 2650.42 1484.25, 2649.78 1485.98, 2649.49 1488.23, 2649.21 1489.75, 2650.09 1490.86, 2648.91 1493.89, 2652.33 1495.33, 2654.15 1495.77, 2655.88 1494.42, 2657.88 1491.75, 2658.99 1487.31, 2658.38 1484.59, 2659.27 1484.03, 2660.38 1484.31, 2661.6 1483.31, 2663.38 1482.2, 2665.94 1481.37, 2668.44 1480.98, 2673.66 1479.99, 2672.36 1479.12, 2671.12 1476.71, 2670.75 1475.1, 2669.76 1473.79, 2669.01 1472.68, 2667.77 1471.25, 2666.96 1470.32, 2668.51 1465.76, 2668.46 1463.6, 2668.41 1461.43, 2667.54 1461.91, 2665.72 1461.63, 2665.2 1463.17, 2664.64 1462.78, 2663.18 1462.03, 2661.87 1461.26, 2661.87 1459.56, 2660.89 1458.67))",6.862141,Capital,20602,Durdham Mews,"(2659.5013874232354, 1476.6389742448848)",,,Vote_MR
Durdham Mews,24,Ward 36,"POLYGON ((2789.48 1355.4, 2780.03 1356.39, 2776 1356.39, 2771.6 1357.25, 2767.21 1358.11, 2766.42 1361.84, 2766.06 1363.71, 2776 1364.25, 2776.65 1364.26, 2778.86 1364.55, 2785.4 1365.01, 2786.1 1362.16, 2789.48 1355.4))",2.466443,Capital,19024,Durdham Mews,"(2777.765637492059, 1360.3295043914416)",,,Vote_L
Durdham Mews,25,Ward 32,"POLYGON ((2770.29 1385.12, 2768.43 1386.82, 2767.01 1388.11, 2770.96 1391.72, 2773.1 1394.05, 2774.56 1400, 2785.48 1400, 2788.8 1400, 2798 1400, 2798 1392.39, 2794.5 1395.2, 2792.58 1391.63, 2791.89 1390.5, 2790.84 1388.76, 2793.66 1385.9, 2787.17 1384.59, 2785.09 1384.24, 2785.32 1382.81, 2781.75 1381.38, 2780.08 1381.1, 2773.55 1380.27, 2771.35 1383.77, 2770.29 1385.12))",6.265325,Capital,22860,Durdham Mews,"(2782.375270539856, 1391.3062279774554)",,,Vote_L
Durdham Mews,26,Ward 28,"POLYGON ((2774.56 1400, 2775.04 1402.97, 2775.43 1405.37, 2777.9 1411.17, 2773.45 1410.26, 2768.61 1411.17, 2762.67 1412.33, 2760.3 1414.02, 2750.34 1414.07, 2749.72 1416.57, 2750.19 1418.39, 2748.85 1420.52, 2747.19 1423.84, 2746.95 1425.98, 2746.32 1428.27, 2748.1 1431.9, 2749.67 1434.93, 2751 1436.62, 2753.29 1440.09, 2753.91 1442.68, 2754.13 1444, 2773.4 1444, 2798 1444, 2798 1437.43, 2798 1427.18, 2798 1423.63, 2798 1418.51, 2798 1406.68, 2798 1400, 2788.8 1400, 2785.48 1400, 2774.56 1400))",28.085638,Capital,23255,Durdham Mews,"(2775.919548216191, 1424.6472301559143)",,,Vote: Left_MR
Durdham Mews,27,Ward 34,"POLYGON ((2793.16 1363.67, 2790.82 1365.25, 2788.66 1366.3, 2785.4 1365.01, 2778.86 1364.55, 2776.65 1364.26, 2776 1364.25, 2766.06 1363.71, 2765.64 1365.39, 2769.52 1367.82, 2773.96 1371.83, 2776 1372.5, 2776 1378, 2781.5 1378, 2786.04 1376.26, 2789.13 1373.64, 2793.27 1372.12, 2791.81 1368.74, 2798 1365.61, 2798 1358.4, 2793.17 1360.62, 2793.16 1363.67))",4.290933,Capital,25911,Durdham Mews,"(2782.843175482713, 1369.023875463256)",,,Vote_L
Durdham Mews,28,Ward 6,"POLYGON ((2661.6 1483.31, 2660.38 1484.31, 2659.27 1484.03, 2658.38 1484.59, 2658.99 1487.31, 2657.88 1491.75, 2655.88 1494.42, 2661.1 1498.01, 2663 1498.79, 2665.63 1499.62, 2667.12 1500.69, 2668.55 1501.53, 2670.28 1502.18, 2671.35 1502.66, 2672.96 1501.94, 2674.45 1501.94, 2676 1502.34, 2676.2 1501.38, 2676.36 1500.22, 2675.5 1499.56, 2674.74 1498.51, 2675.28 1497.94, 2676.65 1497.77, 2678.15 1496.92, 2679.39 1496.19, 2681.06 1495.04, 2682.55 1494.18, 2683.96 1493.2, 2686.46 1493.09, 2687.53 1491.81, 2689.5 1490.27, 2690.94 1488.62, 2691.79 1487.4, 2692.32 1486.55, 2692.53 1485.37, 2692.53 1483.72, 2692.59 1481.7, 2690.99 1481.76, 2688.54 1481.33, 2686.94 1481.01, 2685.88 1481.01, 2683.41 1480.56, 2681.27 1480.49, 2678.94 1480.37, 2676.36 1480.49, 2673.66 1479.99, 2668.44 1480.98, 2665.94 1481.37, 2663.38 1482.2, 2661.6 1483.31))",8.356056,Capital,22953,Durdham Mews,"(2673.596523210802, 1489.6582752228617)",,,Vote_MR
Durdham Mews,29,Ward 40,"POLYGON ((2782.59 1338.87, 2776 1338.06, 2774.05 1337.4, 2773.57 1339.16, 2772.15 1344.53, 2771.29 1347.66, 2776 1349.12, 2780.79 1350.67, 2781.78 1346.54, 2789.13 1345.74, 2794.03 1345.1, 2796.66 1342.54, 2793.89 1343, 2789.18 1340.69, 2785.71 1339.25, 2782.59 1338.87))",2.670612,Capital,19372,Durdham Mews,"(2781.203433767132, 1343.5809989210957)",,,Vote_L
Durdham Mews,30,Ward 41,"POLYGON ((2754 1330.35, 2759.44 1332.19, 2761.18 1332.55, 2762.86 1330.95, 2766.58 1331.94, 2770.99 1332.75, 2773.91 1334.3, 2774.05 1337.4, 2776 1338.06, 2782.59 1338.87, 2785.71 1339.25, 2789.18 1340.69, 2790.12 1337.91, 2790.57 1336.4, 2787 1334, 2783.81 1331.3, 2783.5 1330.35, 2782.63 1328.26, 2780.33 1324.84, 2778.96 1321.45, 2780.29 1320.2, 2780.89 1318.14, 2782 1315.37, 2782.1 1312, 2774.05 1312, 2773.85 1312, 2769.13 1312, 2754 1312, 2754 1321.57, 2754 1330.35))",10.098296,Capital,25972,Durdham Mews,"(2770.0292815512157, 1324.1946931862365)",,,Vote_L
Durdham Mews,31,Ward 33,"POLYGON ((2793.27 1372.12, 2789.13 1373.64, 2786.04 1376.26, 2781.5 1378, 2776 1378, 2773.55 1380.27, 2780.08 1381.1, 2781.75 1381.38, 2785.32 1382.81, 2785.09 1384.24, 2787.17 1384.59, 2793.66 1385.9, 2790.84 1388.76, 2791.89 1390.5, 2792.58 1391.63, 2794.5 1395.2, 2798 1392.39, 2798 1385.2, 2798 1381.6, 2798 1378, 2798 1375.22, 2798 1369.97, 2798 1365.61, 2791.81 1368.74, 2793.27 1372.12))",4.117753,Capital,23165,Durdham Mews,"(2791.425456100777, 1380.078272781887)",,,Vote_L
Durdham Mews,32,Ward 20,"POLYGON ((2585 1294.12, 2585 1356, 2594.46 1356, 2606.43 1356, 2623.62 1356, 2636.5 1356, 2634.38 1351.02, 2631.15 1347.49, 2628.39 1345.19, 2623.78 1342.89, 2625.01 1339.98, 2627.47 1339.52, 2631.15 1331.06, 2636.41 1330.02, 2638.46 1326.58, 2633.72 1321.45, 2636.54 1318.77, 2635.38 1313.47, 2635 1311.6, 2634.87 1308.02, 2637.22 1305.4, 2638.71 1301.03, 2641.83 1300.99, 2644.95 1300.95, 2649.77 1297.85, 2654.56 1297.85, 2659.24 1302.16, 2663.29 1305.76, 2665.86 1303.96, 2670.49 1304.08, 2674.48 1306.78, 2680.14 1308.84, 2682.07 1312.95, 2682.2 1317.71, 2683.87 1321.44, 2688 1319.43, 2688 1304.26, 2688 1302.58, 2688 1299.21, 2688 1286.07, 2688 1268, 2681.81 1266.83, 2678.79 1264.6, 2675.46 1266.35, 2670.05 1267.3, 2667.67 1262.7, 2662.27 1258.25, 2657.66 1255.55, 2654.22 1253.67, 2646.09 1261.59, 2642.87 1264.85, 2636.94 1268.91, 2629.66 1273.48, 2625.06 1264.34, 2623.22 1261.88, 2620.02 1261.59, 2615.24 1259.88, 2609.76 1260.99, 2604.63 1261.79, 2604.64 1251.61, 2585 1251.8, 2585 1294.12))",108.586061,Capital,26761,Durdham Mews,"(2625.955692596001, 1299.4026322650116)",,,Vote_L
Durdham Mews,33,Ward 39,"POLYGON ((2791.94 1349.4, 2792.16 1347.09, 2794.03 1345.1, 2789.13 1345.74, 2781.78 1346.54, 2780.79 1350.67, 2786.97 1354.02, 2789.48 1355.4, 2790.12 1353.96, 2791.17 1352.27, 2791.46 1350.82, 2791.94 1349.4))",1.209266,Capital,20856,Durdham Mews,"(2787.1563715534207, 1349.5808471995597)",,,Vote_L
